File,Hits,Tokens,Total
macaulay-1843-2,156,155,576
macaulay-1849-2,98,98,422
machyn-e1,68,68,1359
macquarie-1815-2,90,90,527
madox-e2,205,202,1460
manners-e1,2,2,13
marches-e1,2,2,9
markham-e2,175,162,831
masham-e2,72,72,212
mathews-1875-2,75,75,1233
maurice-1857-2,112,110,425
maxwell-1747-1,160,159,468
memo-e3,11,10,50
meredith-188x-2,146,146,1091
meredith-1895-1,125,122,650
merrytal-e1,293,290,1505
mhatton-e3,4,4,31
mhoward-e1,4,4,10
middlet-e2,129,127,2311
midshipman-1767-2,116,115,628
miles1-1873-2,119,117,476
miles2-1893-2,107,106,504
mill-1854-2,122,122,636
mill-1871-2,154,153,512
milton-e3,202,197,650
montagu-1718-1,115,115,491
montague-e3,26,26,91
montefiore-1836-1,123,123,614
moore-181x-2,129,129,819
morelet1-e1,7,7,23
morelet2-e1,103,100,289
moreric-e1,208,203,597
morewol-e1,41,41,131
morris-172x-2,140,140,692
morton-1813-2,80,78,1184
mowntayne-e1,176,174,978
moxinden-e2,16,16,49
mroper-e1,92,88,283
mtudor-1510-e1,19,19,70
mtudor-1520-e1,3,3,13
nevill-e1,1,1,18
newcome-new-1796-1,74,74,1049
newcome-new-1796-2,30,29,701
nferrar-e2,10,10,42
nferrar-e2-p2,8,8,37
nhadd-1700-e3,5,5,55
nhadd-1710-e3,7,7,38
nightingale-1848-2,131,130,676
nightingale-188x-1,46,45,211
nightingale-189x-1,92,91,428
oates-e3,199,199,2092
oconnell-1844-2,444,444,4168
officer-1744-1,92,92,758
okeeffe-1767-2,83,83,829
okeeffe-1826-1,66,65,534
oldmixon-1716-2,141,140,478
oman-1895-1,147,144,578
osborne-e3,25,25,51
osmer-1759-2,123,119,401
owen-1813-2,135,131,393
owen-1847-2,77,76,413
owen-1857-2,112,111,531
palgrave1-185x-2,95,94,515
palgrave2-1863-2,103,103,470
penny-e3,312,310,1578
pepys-e3,195,190,1042
perrott-e2,178,177,479
pettit-e2,11,11,59
pettit2-e2,5,5,31
peyton-e2,8,8,24
phenry-e3,24,24,148
planche-1827-2,109,108,1178
planche-1846-2,112,110,933
poore-1876-1,85,85,435
pope-172x-2,118,116,470
priestley-1765-2,106,106,352
priestley-1769-1,90,89,318
proposals-e3,6,6,15
proud-1620-e2,5,5,18
proud-1630-e2,12,12,29
purver-new-1764-1,66,65,952
purver-new-1764-2,159,159,1603
purver-old-1764-1,59,58,602
purver-old-1764-2,129,129,1141
pusey-186x-1,86,85,438
pusey-187x-2,85,84,517
raleigh-e2,234,234,1178
rcecil-e2,39,39,155
reade-1863-1,117,117,705
record-e1,84,82,1479
reeve-1777-1,148,146,750
rferrar-e2,3,3,15
