File,Hits,Tokens,Total
MAXWELL-1747-1,157,157,1088
MEMO-E3,13,13,100
MEREDITH-188X-2,129,129,979
MEREDITH-1895-1,115,115,924
MERRYTAL-E1,643,643,2630
MHATTON-E3,3,3,62
MHOWARD-E1,4,4,29
MIDDLET-E2,116,116,2132
MIDSHIPMAN-1767-2,167,167,1028
MILES1-1873-2,85,85,670
MILES2-1893-2,98,98,773
MILL-1854-2,167,167,1123
MILL-1871-2,114,114,811
MILTON-E3,238,238,1353
MONTAGU-1718-1,125,125,864
MONTAGUE-E3,24,24,164
MONTEFIORE-1836-1,166,166,915
MOORE-181X-2,145,145,1031
MORELET1-E1,9,9,47
MORELET2-E1,131,131,790
MORERIC-E1,304,304,1831
MOREWOL-E1,36,36,325
MORRIS-172X-2,235,235,997
MORTON-1813-2,85,85,1136
MOWNTAYNE-E1,377,377,1448
MOXINDEN-E2,9,9,102
MROPER-E1,152,152,896
MTUDOR-1510-E1,22,22,122
MTUDOR-1520-E1,5,5,21
NEVILL-E1,8,8,16
NEWCOME-NEW-1796-1,492,492,1906
NEWCOME-NEW-1796-2,288,288,1318
NFERRAR-E2,10,10,46
NFERRAR-E2-P2,8,8,48
NHADD-1700-E3,12,12,76
NHADD-1710-E3,7,7,50
NIGHTINGALE-1848-2,185,185,1058
NIGHTINGALE-188X-1,30,30,340
NIGHTINGALE-189X-1,69,69,599
OATES-E3,509,509,2905
OCONNELL-1844-2,400,400,5482
OFFICER-1744-1,173,173,864
OKEEFFE-1767-2,70,70,934
OKEEFFE-1826-1,115,115,672
OLDMIXON-1716-2,159,159,1025
OMAN-1895-1,172,172,803
OSBORNE-E3,25,25,129
OSMER-1759-2,115,115,779
OWEN-1813-2,107,107,748
OWEN-1847-2,125,125,749
OWEN-1857-2,217,217,947
PALGRAVE1-185X-2,150,150,776
PALGRAVE2-1863-2,148,148,720
PENNY-E3,519,519,2417
PEPYS-E3,414,414,1495
PERROTT-E2,224,224,1379
PETTIT-E2,16,16,71
PETTIT2-E2,7,7,58
PEYTON-E2,1,1,42
PHENRY-E3,25,25,219
PLANCHE-1827-2,115,115,1127
PLANCHE-1846-2,121,121,1040
POORE-1876-1,105,105,643
POPE-172X-2,101,101,894
PRIESTLEY-1765-2,90,90,835
PRIESTLEY-1769-1,88,88,836
PROPOSALS-E3,5,5,31
PROUD-1620-E2,6,6,17
PROUD-1630-E2,12,12,58
PURVER-NEW-1764-1,309,309,1872
PURVER-NEW-1764-2,635,635,3046
PURVER-OLD-1764-1,204,204,1013
PURVER-OLD-1764-2,403,403,2113
PUSEY-186X-1,69,69,840
PUSEY-187X-2,89,89,1002
RALEIGH-E2,225,225,1944
RCECIL-E2,48,48,314
READE-1863-1,171,171,1166
RECORD-E1,367,367,1958
REEVE-1777-1,199,199,1126
RFERRAR-E2,4,4,18
RHADDJR-E3,4,4,23
RHADDSR-1650-E3,22,22,169
RHADDSR-1670-E3,30,30,316
RHADDSR-1680-E3,3,3,19
RHADDSR-1700-E3,13,13,88
RHADDSR-1710-E3,3,3,21
RICH-E2,21,21,154
RICHARDSON-1858-2,53,53,641
ROBERTS-1726-2,185,185,942
ROBERTSON-1792-2,167,167,805
ROPER-E1,156,156,1366
ROXINDEN-1600-E2,2,2,20
ROXINDEN-1620-E2,12,12,65
ROXINDEN2-E2,10,10,50
RPLUMPT-E1,16,16,76
RPLUMPT2-E1,28,28,81
RUSKIN-1835-1,110,110,760
RUSKIN-1882-2,166,166,615
RUSSELL-E1,2,2,22
RYDER-1716-1,207,207,1203
SALMON-1724-2,174,174,722
SAVILL-E1,39,39,190
SHAKESP-E2,198,198,2201
SHAW-1903-2,130,130,1183
SHERIDAN-1756-2,78,78,911
SKEAVINGTON-184X-1,136,136,841
SMITH-E2,338,338,2208
SMOLLETT-175X-2,128,128,925
SOMERS-E3,12,12,68
SOUTHARD-E3,11,11,51
SOUTHEY-1813-1,174,174,960
SPENCER-1680-E3,7,7,64
SPENCER-1700-E3,18,18,176
ST-JOHN-1711-2,109,109,1065
STAT-1500-E1,6,6,298
STAT-1510-E1,1,1,71
STAT-1530-E1,21,21,407
STAT-1540-E1,19,19,259
STAT-1550-E1,19,19,234
STAT-1560-E1,18,18,187
STAT-1570-E2,15,15,192
STAT-1580-E2,20,20,277
STAT-1590-E2,14,14,220
STAT-1600-E2,22,22,295
STAT-1620-E2,10,10,204
STAT-1640-E2,34,34,272
STAT-1660-E3,29,29,348
