File,Hits,Tokens,Total
NEWCOME-NEW-1796-2,54,54,623
NFERRAR-E2,0,0,21
NFERRAR-E2-P2,0,0,21
NHADD-1700-E3,0,0,30
NHADD-1710-E3,0,0,24
NIGHTINGALE-1848-2,26,26,454
NIGHTINGALE-188X-1,25,25,195
NIGHTINGALE-189X-1,22,22,289
OATES-E3,390,390,1493
OCONNELL-1844-2,818,818,2728
OFFICER-1744-1,0,0,364
OKEEFFE-1767-2,77,77,395
OKEEFFE-1826-1,6,6,210
OLDMIXON-1716-2,7,7,596
OMAN-1895-1,2,2,233
OSBORNE-E3,0,0,87
OSMER-1759-2,6,6,457
OWEN-1813-2,16,16,396
OWEN-1847-2,24,24,417
OWEN-1857-2,3,3,437
PALGRAVE1-185X-2,4,4,307
PALGRAVE2-1863-2,10,10,286
PENNY-E3,105,105,1248
PEPYS-E3,2,2,854
PERROTT-E2,11,11,936
PETTIT-E2,0,0,36
PETTIT2-E2,0,0,37
PEYTON-E2,0,0,22
PHENRY-E3,3,3,118
PLANCHE-1827-2,98,98,429
PLANCHE-1846-2,78,78,435
POORE-1876-1,4,4,274
POPE-172X-2,11,11,542
PRIESTLEY-1765-2,28,28,556
PRIESTLEY-1769-1,4,4,548
PROPOSALS-E3,0,0,22
PROUD-1620-E2,0,0,3
PROUD-1630-E2,0,0,36
PURVER-NEW-1764-1,109,109,941
PURVER-NEW-1764-2,104,104,1604
PURVER-OLD-1764-1,25,25,531
PURVER-OLD-1764-2,49,49,1205
PUSEY-186X-1,19,19,469
PUSEY-187X-2,36,36,549
RALEIGH-E2,61,61,970
RCECIL-E2,1,1,214
READE-1863-1,20,20,499
RECORD-E1,1,1,1172
REEVE-1777-1,35,35,429
RFERRAR-E2,1,1,8
RHADDJR-E3,0,0,4
RHADDSR-1650-E3,0,0,93
RHADDSR-1670-E3,0,0,136
RHADDSR-1680-E3,0,0,12
RHADDSR-1700-E3,0,0,41
RHADDSR-1710-E3,0,0,8
RICH-E2,1,1,105
RICHARDSON-1858-2,0,0,378
ROBERTS-1726-2,0,0,563
ROBERTSON-1792-2,0,0,195
ROPER-E1,23,23,985
ROXINDEN-1600-E2,0,0,12
ROXINDEN-1620-E2,0,0,37
ROXINDEN2-E2,0,0,30
RPLUMPT-E1,0,0,46
RPLUMPT2-E1,0,0,46
RUSKIN-1835-1,0,0,283
RUSKIN-1882-2,12,12,208
RUSSELL-E1,0,0,14
RYDER-1716-1,1,1,586
SALMON-1724-2,1,1,405
SAVILL-E1,0,0,87
SHAKESP-E2,256,256,822
SHAW-1903-2,92,92,477
SHERIDAN-1756-2,27,27,634
SKEAVINGTON-184X-1,0,0,462
SMITH-E2,48,48,1255
SMOLLETT-175X-2,12,12,459
SOMERS-E3,0,0,42
SOUTHARD-E3,0,0,30
SOUTHEY-1813-1,4,4,386
SPENCER-1680-E3,0,0,37
SPENCER-1700-E3,0,0,125
ST-JOHN-1711-2,2,2,675
STAT-1500-E1,0,0,280
STAT-1510-E1,0,0,70
STAT-1530-E1,0,0,362
STAT-1540-E1,0,0,235
STAT-1550-E1,0,0,210
STAT-1560-E1,0,0,168
STAT-1570-E2,0,0,172
STAT-1580-E2,0,0,251
STAT-1590-E2,0,0,198
STAT-1600-E2,0,0,265
STAT-1620-E2,0,0,189
STAT-1640-E2,0,0,233
