File,Hits,Tokens,Total
OSMER-1759-2,213,213,779
OWEN-1813-2,261,261,748
OWEN-1847-2,231,231,749
OWEN-1857-2,296,296,947
PALGRAVE1-185X-2,323,323,776
PALGRAVE2-1863-2,296,296,720
PENNY-E3,755,755,2417
PEPYS-E3,229,229,1495
PERROTT-E2,230,230,1379
PETTIT-E2,19,19,71
PETTIT2-E2,14,14,58
PEYTON-E2,19,19,42
PHENRY-E3,79,79,219
PLANCHE-1827-2,681,681,1127
PLANCHE-1846-2,562,562,1040
POORE-1876-1,268,268,643
POPE-172X-2,262,262,894
PRIESTLEY-1765-2,217,217,835
PRIESTLEY-1769-1,204,204,836
PROPOSALS-E3,4,4,31
PROUD-1620-E2,8,8,17
PROUD-1630-E2,10,10,58
PURVER-NEW-1764-1,731,731,1872
PURVER-NEW-1764-2,911,911,3046
PURVER-OLD-1764-1,303,303,1013
PURVER-OLD-1764-2,554,554,2113
PUSEY-186X-1,321,321,840
PUSEY-187X-2,400,400,1002
RALEIGH-E2,810,810,1944
RCECIL-E2,53,53,314
READE-1863-1,516,516,1166
RECORD-E1,420,420,1958
REEVE-1777-1,533,533,1126
RFERRAR-E2,7,7,18
RHADDJR-E3,15,15,23
RHADDSR-1650-E3,54,54,169
RHADDSR-1670-E3,150,150,316
RHADDSR-1680-E3,4,4,19
RHADDSR-1700-E3,34,34,88
RHADDSR-1710-E3,10,10,21
RICH-E2,29,29,154
RICHARDSON-1858-2,210,210,641
ROBERTS-1726-2,194,194,942
ROBERTSON-1792-2,443,443,805
ROPER-E1,248,248,1366
ROXINDEN-1600-E2,6,6,20
ROXINDEN-1620-E2,16,16,65
ROXINDEN2-E2,10,10,50
RPLUMPT-E1,14,14,76
RPLUMPT2-E1,7,7,81
RUSKIN-1835-1,367,367,760
RUSKIN-1882-2,253,253,615
RUSSELL-E1,6,6,22
RYDER-1716-1,411,411,1203
SALMON-1724-2,144,144,722
SAVILL-E1,64,64,190
SHAKESP-E2,1437,1437,2201
SHAW-1903-2,668,668,1183
SHERIDAN-1756-2,226,226,911
SKEAVINGTON-184X-1,243,243,841
SMITH-E2,663,663,2208
SMOLLETT-175X-2,350,350,925
SOMERS-E3,14,14,68
SOUTHARD-E3,10,10,51
SOUTHEY-1813-1,404,404,960
SPENCER-1680-E3,20,20,64
SPENCER-1700-E3,33,33,176
ST-JOHN-1711-2,283,283,1065
STAT-1500-E1,12,12,298
STAT-1510-E1,0,0,71
STAT-1530-E1,24,24,407
STAT-1540-E1,5,5,259
STAT-1550-E1,5,5,234
STAT-1560-E1,1,1,187
STAT-1570-E2,5,5,192
STAT-1580-E2,6,6,277
STAT-1590-E2,8,8,220
STAT-1600-E2,8,8,295
STAT-1620-E2,5,5,204
STAT-1640-E2,5,5,272
STAT-1660-E3,10,10,348
STAT-1670-E3,2,2,133
STAT-1690-E3,21,21,1015
STATUTES-171X-1,22,22,307
STATUTES-1745-1,35,35,286
STATUTES-1775-1,34,34,303
STATUTES-1805-1,27,27,299
STATUTES-1835-1,47,47,450
STATUTES-1865-1,74,74,388
STATUTES-1895-1,132,132,409
STEVENS-1745-1,653,653,1200
STEVENSO-E1,945,945,1840
STOKES-1887-2,201,201,720
STOW-E2,316,316,1312
STRUTT-1890-1,353,353,794
STRYPE-E3,80,80,268
STURT-1890-2,513,513,1016
STURT-1914-2,411,411,923
SURETY-E1,1,1,7
SWIFT-1726-2,241,241,859
SWIFT-1735-2,293,293,928
TALBOT-1901-1,356,356,918
TALBOT-E2,11,11,22
TBARRING-E2,46,46,136
TEMPLE-1914-2,326,326,1018
THACKERAY-1855-2,475,475,1060
THOMPSON-1859-2,363,363,733
THOMSON-1862-2,171,171,603
THOWARD-E1-H,1,1,26
THOWARD-E1-P1,2,2,23
THOWARD2-E2,1244,1244,3439
THRING-187X-1,463,463,998
THRING-1883-2,354,354,879
THROCKM-E1,486,486,1624
TILLOTS-A-E3,124,124,594
TILLOTS-B-E3,145,145,847
TILLOTS-C-E3,96,96,559
TINDALL-1814-1,274,274,766
TORKINGT-E1,495,495,1653
TOWNLEY-1746-1,364,364,1064
TREVELYAN-1911-2,270,270,664
TREVELYAN-1913-2,340,340,808
TRINCOLL-E2,2,2,9
TROLLOPE-1879-2,439,439,1099
TROLLOPE-1882-1,339,339,984
TUNSTALL-E1-H,12,12,116
TUNSTALL-E1-P1,15,15,97
TURNER-E1,263,263,1549
TURNER1-1799-1,367,367,808
TURNER2-1800-1,309,309,737
TURNER3-1722-2,99,99,478
TURNERHERB-E1,31,31,75
TYNDNEW-E1,1556,1556,5302
TYNDOLD-E1,625,625,3424
UDALL-E1,1084,1084,1897
UNDERHILL-E1,199,199,583
VANBR-E3,1394,1394,2739
VICARY-E1,432,432,1945
VICTORIA-186X-DIARY-2,480,480,1130
VICTORIA-186X-OFFICIAL-LETTERS-2,283,283,985
VICTORIA-186X-PRIVATE-LETTERS-1,396,396,1033
WALPOLE-174X-1,412,412,1086
WALPOLE-179X-2,362,362,1105
WALTON-E3,385,385,1669
WATSON-1817-1,1886,1886,3442
WATTS-1726-2,188,188,649
WCECIL-1560-E1,35,35,128
WCECIL-1580-E2,17,17,108
WEATHERS-1913-1,252,252,630
WEBSTER-1718-1,38,38,182
WELLESLEY-1815-1,274,274,979
WESLEY-174X-1,473,473,1102
WESLEY-1750-2,114,114,344
WESLEY-1755-2,177,177,541
WHEWELL-1837-1,249,249,782
WHITE-1784-2,263,263,781
WHITEFIELD-1737-2,168,168,812
WILDE-1895-1,705,705,1191
WILLIAM-1832-2,145,145,829
WOLLASTON-1793-1,210,210,781
WOLLSTONECRAFT-1787-2,394,394,1087
WOLSEY-E1,37,37,236
WOOD-1864-2,249,249,780
WPASTON2-E2,20,20,34
WPLUMPT-1500-E1,8,8,41
WPLUMPT-1510-E1,3,3,14
WPLUMPT-1530-E1,4,4,24
WYLD-1725-2,145,145,617
YONGE-1865-1,434,434,1048
ZOUCH-E3,3,3,32
