File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
DPLUMPT-E1,1507,Letters,19,6,6,3,0,25,9,34
DRUMMOND-1718-1,1718,Non-fiction,379,75,36,226,0,454,262,716
DRUMMOND-E3,1690,Letters,167,28,35,43,1,195,79,274
EBEAUM-E1,1503,Letters,23,7,13,12,0,30,25,55
ECUMBERL-E1,1545,Letters,13,3,7,2,0,16,9,25
EDMONDES-E2,1599,Letters,272,67,43,62,0,339,105,444
EDWARD-E1,1551,Diaries,803,234,219,602,0,1037,821,1858
EHATTON-E3,1666,Letters,29,4,4,9,0,33,13,46
EHATTON2-E3,1690,Letters,60,17,20,34,0,77,54,131
ELIZ-1560-E1,1566,Letters,14,4,1,4,0,18,5,23
ELIZ-1570-E2,1573,Letters,62,12,10,7,0,74,17,91
ELIZ-1580-E2,1585,Letters,86,16,4,25,3,102,32,134
ELIZ-1590-E2-H,1598,Letters,121,14,7,17,1,135,25,160
ELIZ-1590-E2-P2,1600,Letters,19,2,1,3,0,21,4,25
ELLIS-1851-2,1851,Non-fiction,423,146,49,252,50,569,351,920
ELYOT-E1,1531,Non-fiction,1103,180,231,248,39,1283,518,1801
EOXINDEN-1650-E3,1658,Letters,17,8,8,10,0,25,18,43
EOXINDEN-1660-E3,1665,Letters,128,41,53,110,0,169,163,332
EOXINDEN-1680-E3,1680,Letters,28,11,10,31,0,39,41,80
EPOOLE-E1,1503,Letters,44,15,14,11,0,59,25,84
ERV-NEW-1881-1,1881,Bible,700,68,483,701,110,768,1294,2062
ERV-NEW-1881-2,1881,Bible,1299,163,1129,730,97,1462,1956,3418
ERV-OLD-1885-1,1885,Bible,351,75,587,206,25,426,818,1244
ERV-OLD-1885-2,1885,Bible,874,140,953,484,52,1014,1489,2503
ESSEX-E2,1600,Legal,498,145,171,275,20,643,466,1109
ESSEXSTATE-E2,1600,Legal,560,155,237,180,16,715,433,1148
EVELYN-E3,1689,Diaries,666,163,92,647,2,829,741,1570
EVERARD-E2,1629,Letters,24,16,11,23,0,40,34,74
FABYAN-E1,1516,Non-fiction,845,126,329,164,2,971,495,1466
FALLOWFIELD-1791-2,1791,Non-fiction,306,78,82,263,1,384,346,730
FARADAY-1859-1,1859,Non-fiction,526,102,161,258,19,628,438,1066
FARQUHAR-E3,1707,Drama,536,121,235,1222,240,657,1697,2354
FAYRER-1900-1,1900,Non-fiction,232,97,210,381,1,329,592,921
FAYRER-1900-2,1900,Non-fiction,65,26,35,86,2,91,123,214
FERGUSON-1756-2,1756,Non-fiction,398,95,137,156,2,493,295,788
FHATTON-E3,1677,Letters,27,8,13,28,0,35,41,76
FIELDING1-1735-2,1735,Drama,496,108,135,620,101,604,856,1460
FIELDING1-1749-1,1749,Fiction,567,121,138,302,22,688,462,1150
FIELDING1-1754-2,1754,Non-fiction,589,115,140,201,4,704,345,1049
FIELDING2-1744-2,1744,Fiction,690,175,188,249,4,865,441,1306
FIENNES-E3,1698,Non-fiction,692,111,252,678,1,803,931,1734
FISHER-E1,1521,Sermon,802,157,228,460,80,959,768,1727
FITZH-E1,1534,Non-fiction,785,202,550,284,5,987,839,1826
FLEMING-1886-1,1886,Non-fiction,297,87,100,366,0,384,466,850
FORMAN-DIARY-E2,1602,Diaries,105,91,319,398,0,196,717,913
FORMAN-E2,1602,Non-fiction,211,40,164,74,0,251,238,489
FORSTER1-1827-2,1827,Non-fiction,403,77,86,383,2,480,471,951
FORSTER2-1910-2,1910,Fiction,330,103,204,783,63,433,1050,1483
FORSTER2-191X-2,1910,Letters,417,119,177,549,51,536,777,1313
FOX-E3,1674,Non-fiction,1003,202,966,211,47,1205,1224,2429
FRIAR-E1,1538,Letters,56,11,15,5,0,67,20,87
FROST-1840-1,1840,Legal,1284,180,208,2211,880,1464,3299,4763
FROST-1840-2,1840,Legal,621,112,128,1003,366,733,1497,2230
FROUDE-1830-1,1830,Sermon,582,131,91,237,22,713,350,1063
FRYER-E3,1677,Non-fiction,805,182,204,369,3,987,576,1563
GARRICK-1759-2,1759,Drama,305,104,121,592,121,409,834,1243
GASCOIGNE-1500-E1,1503,Letters,31,5,16,8,0,36,24,60
GASCOIGNE-1510-E1,1515,Letters,16,4,4,7,0,20,11,31
GAWDY-E2,1588,Letters,125,55,72,142,0,180,214,394
